gene	mean	CM_3_mean	CM_3_positive_frac	CM_6_mean	CM_6_positive_frac	log2FC	-log10 p-val	is_significant
PXDN	0.4211671	0.40333584	0.35354041416165666	1.310946	0.9583333333333334	1.7003073	35.02365	1
ASAP2	0.032928385	0.02729384	0.027722110888443553	0.31408837	0.4583333333333333	3.5197062	12.642629	1
ITGB1BP1	0.29873934	0.29200596	0.2798931195724783	0.63473135	0.75	1.1198816	12.615958	1
AC073195.1	0.007602428	0.007754797	0.008350033400133601	-1.0186341e-10	0.0	-6.2955036	11.355601	1
ODC1-DT	0.0035274038	0.0035981098	0.003841015364061456	-1.0186341e-10	0.0	-5.208718	5.4392385	1
ATP6V1C2	0.010771345	0.01098722	0.011356045424181697	-1.0186341e-10	0.0	-6.792755	14.715082	1
ROCK2	0.38360423	0.37424558	0.3471943887775551	0.8506046	0.85	1.1842875	17.875544	1
FAM49A	0.012404826	0.008544436	0.00985303941215765	0.20503852	0.31666666666666665	4.5686827	9.044458	1
RAD51AP2	0.0040519186	0.0041331355	0.004342017368069473	-1.0186341e-10	0.0	-5.403656	6.0414233	1
LINC01376	0.005479971	0.0055898065	0.006012024048096192	-1.0186341e-10	0.0	-5.830309	8.260912	1
LAPTM4A	0.83258617	0.8232317	0.6419505678022712	1.2993617	0.9833333333333333	0.6583684	22.271214	1
RHOB	0.12717383	0.122414954	0.12174348697394789	0.36463124	0.5166666666666667	1.5738759	9.026215	1
APOB	0.007264247	0.0074098394	0.0070140280561122245	-1.0186341e-10	0.0	-6.2307115	9.663011	1
FKBP1B	0.1234567	0.12037399	0.12124248496993988	0.27727258	0.45	1.2031034	5.787405	1
TP53I3	0.20190912	0.1977939	0.19405477621910489	0.4072487	0.6	1.0415372	7.305761	1
ITSN2	0.22894901	0.22491783	0.2182698730794923	0.43009776	0.6333333333333333	0.9349606	7.3353767	1
RAB10	0.36948058	0.36544067	0.3418503674014696	0.57109916	0.7166666666666667	0.6439621	5.7230396	1
CGREF1	0.0044848444	0.0045747375	0.004843019372077488	-1.0186341e-10	0.0	-5.546815	6.788618	1
UCN	0.0120339515	0.01227513	0.012525050100200401	-1.0186341e-10	0.0	-6.951301	16.54594	1
MPV17	0.24512923	0.24087872	0.2386439545758183	0.45721662	0.6416666666666667	0.9242876	7.5145197	1
FOSL2	0.015886893	0.009826128	0.00985303941215765	0.3183194	0.45	5.0035534	12.759301	1
LBH	0.4719992	0.44902048	0.35370741482965934	1.6186413	0.95	1.8496981	38.359608	1
BIRC6	0.48202342	0.47742912	0.4223446893787575	0.7112897	0.8333333333333334	0.5750514	7.214225	1
RASGRP3	0.123953395	0.10982279	0.11222444889779559	0.8290667	0.825	2.9151716	26.747904	1
CRIM1	0.058366366	0.052452542	0.05260521042084168	0.35347062	0.5	2.750166	11.426629	1
QPCT	0.038308673	0.031208185	0.03256513026052104	0.3926202	0.575	3.64889	18.078522	1
CDC42EP3	0.27079874	0.2630425	0.24866399465597863	0.6578292	0.725	1.3220882	12.207023	1
