gene	mean	VO_mean	VO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
THSD7A	0.29680732	0.31798398	0.3277449046679816	0.14080858	0.15012106537530268	-1.1746482	17.512636	1
ARL4A	0.42748618	0.4434617	0.4260355029585799	0.3098013	0.3365617433414044	-0.51732594	6.6762967	1
MEOX2	0.013354844	0.015168089	0.019395134779750165	3.0559022e-10	0.0	-7.254371	12.705715	1
TWIST1	0.09044612	0.09929757	0.12294543063773833	0.025258033	0.031476997578692496	-1.9707677	15.503062	1
STEAP1B	0.1140972	0.12612745	0.14102564102564102	0.025495252	0.029055690072639227	-2.3020775	23.732218	1
FAM126A	0.53253704	0.5541108	0.5262984878369493	0.37361777	0.387409200968523	-0.5684858	9.899291	1
SNX10	0.15134294	0.16168614	0.1834319526627219	0.07515734	0.09200968523002422	-1.1041838	9.290723	1
HOXA5	0.05105932	0.05538714	0.06936226166995398	0.019175671	0.024213075060532687	-1.5253724	6.1811395	1
HOXA10-AS	0.041646812	0.045197975	0.05654174884944116	0.015483774	0.01937046004842615	-1.539402	5.1354284	1
HOXA10	0.19675703	0.2061072	0.23372781065088757	0.12786809	0.1549636803874092	-0.68831056	5.0468826	1
